School,2017,2016,2015,2007
Amherst College,NA,0.14,0.14,0.18
Boston College,0.32,0.32,0.28,0.27
Brown University,0.08,0.09,0.09,0.15
Columbia University,0.06,0.06,0.06,0.12
Cornell University,0.13,0.14,0.15,0.21
Dartmouth College,0.10,0.11,0.10,0.18
Duke University,0.09,0.10,0.10,0.21
George Washington,0.41,0.40,0.46,0.37
Georgetown University,0.15,0.16,0.16,0.21
Harvard University,0.05,0.05,0.05,0.10
Massachusetts Institute of Technology,0.07,0.08,0.08,0.13
Middlebury College,0.20,0.16,0.17,0.23
New York University,0.27,0.32,0.31,0.37
Northwestern University,0.09,0.11,0.13,0.27
Pomona College,0.08,0.09,0.10,0.16
Princeton University,0.06,0.06,0.07,0.10
Stanford University,0.05,0.05,0.05,0.10
Swarthmore College,0.10,0.13,0.12,0.24
University of California – Berkeley,0.18,0.15,0.15,0.23
University of Chicago,NA,0.08,0.08,0.35
University of Michigan,0.24,0.29,0.26,0.50
University of Notre Dame,0.18,0.18,0.20,0.24
University of Pennsylvania,0.09,0.09,0.10,0.21
University of Southern California,0.16,0.17,0.18,0.25
University of Virginia,0.27,0.29,0.29,0.35
Vanderbilt University,0.10,0.10,0.11,0.33
Wesleyan University,0.15,0.18,0.22,0.27
Williams College,0.15,0.17,0.17,0.17
Yale University,0.07,0.06,0.07,0.11
