state,population,citizens,registered,voted
ALABAMA,3717,3651,2526,2095
ALASKA,518,502,358,308
ARIZONA,5196,4585,3145,2769
ARKANSAS,2216,2116,1456,1241
CALIFORNIA,29894,24890,16096,14416
COLORADO,4242,3895,2893,2707
CONNECTICUT,2759,2483,1763,1586
DELAWARE,729,669,487,417
DISTRICT OF COLUMBIA,553,512,420,380
FLORIDA,16202,14428,9604,8578
GEORGIA,7626,7048,4892,4246
HAWAII,1064,974,530,460
IDAHO,1224,1150,790,714
ILLINOIS,9723,8970,6665,5719
INDIANA,4988,4795,3298,2795
IOWA,2394,2292,1657,1454
KANSAS,2142,2029,1438,1243
KENTUCKY,3348,3246,2253,1850
LOUISIANA,3463,3353,2446,2067
MAINE,1058,1038,830,754
MARYLAND,4623,4158,3114,2737
MASSACHUSETTS,5374,4967,3660,3315
MICHIGAN,7624,7332,5434,4713
MINNESOTA,4190,3985,3055,2738
MISSISSIPPI,2203,2170,1725,1470
MISSOURI,4626,4486,3333,2906
MONTANA,798,790,581,521
NEBRASKA,1407,1336,1008,893
NEVADA,2234,1975,1371,1195
NEW HAMPSHIRE,1044,1012,763,698
NEW JERSEY,6862,5958,4165,3665
NEW MEXICO,1547,1396,916,765
NEW YORK,15506,13751,9142,7869
NORTH CAROLINA,7631,6960,5194,4700
NORTH DAKOTA,583,564,424,362
OHIO,8811,8499,6128,5408
OKLAHOMA,2923,2746,1861,1555
OREGON,3185,2929,2147,1942
PENNSYLVANIA,9980,9596,6909,6008
RHODE ISLAND,836,766,538,464
SOUTH CAROLINA,3733,3598,2575,2233
SOUTH DAKOTA,631,612,437,362
TENNESSEE,5057,4872,3251,2630
TEXAS,20172,17378,11724,9626
UTAH,2096,1969,1398,1234
VERMONT,500,488,351,305
VIRGINIA,6343,5829,4399,3973
WASHINGTON,5592,5104,3906,3382
WEST VIRGINIA,1434,1425,913,723
WISCONSIN,4465,4354,3323,3068
WYOMING,436,427,304,277
