mpg,cylinders,displacement,horsepower,weight,acceleration,modelyear,maker
Bad,8,350,150,4699,14.5,74,America
Bad,8,400,170,4746,12,71,America
Bad,8,400,175,4385,12,72,America
Bad,6,250,72,3158,19.5,75,America
Bad,8,304,150,3892,12.5,72,America
Bad,8,350,145,4440,14,75,America
Bad,6,250,105,3897,18.5,75,America
Bad,6,163,133,3410,15.8,78,Asia
Bad,8,260,110,4060,19,77,America
Bad,8,305,130,3840,15.4,79,America
Bad,6,250,110,3520,16.4,77,America
Bad,6,258,95,3193,17.8,76,America
Bad,4,121,112,2933,14.5,72,Asia
Bad,6,225,105,3613,16.5,74,America
Bad,4,121,112,2868,15.5,73,Asia
Bad,6,225,95,3264,16,75,America
Bad,6,200,85,2990,18.2,79,America
OK,4,121,98,2945,14.5,75,Asia
OK,6,232,90,3085,17.6,76,America
OK,4,120,97,2506,14.5,72,Europe
OK,4,151,85,2855,17.6,78,America
OK,4,116,75,2158,15.5,73,Asia
OK,4,119,97,2545,17,75,Europe
OK,6,146,120,2930,13.8,81,Europe
OK,4,116,81,2220,16.9,76,Asia
OK,4,156,92,2620,14.4,81,America
OK,4,140,88,2870,18.1,80,America
OK,4,97,60,1834,19,71,Asia
OK,4,134,95,2560,14.2,78,Europe
OK,4,97,75,2171,16,75,Europe
OK,4,97,78,1940,14.5,77,Asia
OK,4,98,83,2219,16.5,74,Asia
Good,4,79,70,2074,19.5,71,Asia
Good,4,91,68,1970,17.6,82,Europe
Good,4,89,71,1925,14,79,Asia
Good,4,83,61,2003,19,74,Europe
Good,4,112,88,2395,18,82,America
Good,4,81,60,1760,16.1,81,Europe
Good,4,135,84,2370,13,82,America
Good,4,105,63,2125,14.7,82,America
Bad,4,135,84,2370,13,82,America
Bad,4,105,63,2125,14.7,82,America
